cycle,accuracy,cycle_time,total_time
1,92.5,0.0,169.29168963432312
2,92.86,0.0,169.29168963432312
3,93.93,0.0,169.29168963432312
4,93.21,0.0,169.29168963432312
5,92.86,0.0,169.29168963432312
6,92.86,0.0,169.29168963432312
7,93.93,0.0,169.29168963432312
8,94.64,0.0,169.29168963432312
9,93.21,0.0,169.29168963432312
10,92.5,0.0,169.29168963432312
11,93.21,0.0,169.29168963432312
12,93.93,0.0,169.29168963432312
13,92.5,0.0,169.29168963432312
14,93.57,0.0,169.29168963432312
15,92.86,0.0,169.29168963432312
16,91.79,0.0,169.29168963432312
17,95.36,0.0,169.29168963432312
18,91.79,0.0,169.29168963432312
19,93.57,0.0,169.29168963432312
20,92.14,0.0,169.29168963432312
21,93.93,0.0,169.29168963432312
22,93.57,0.0,169.29168963432312
23,92.86,0.0,169.29168963432312
24,94.29,0.0,169.29168963432312
25,91.07,0.0,169.29168963432312
26,95.71,0.0,169.29168963432312
27,92.14,0.0,169.29168963432312
28,91.79,0.0,169.29168963432312
29,95.36,0.0,169.29168963432312
30,92.14,0.0,169.29168963432312
31,90.71,0.0,169.29168963432312
32,91.79,0.0,169.29168963432312
33,94.29,0.0,169.29168963432312
34,91.79,0.0,169.29168963432312
35,93.93,0.0,169.29168963432312
36,92.5,0.0,169.29168963432312
37,93.93,0.0,169.29168963432312
38,92.14,0.0,169.29168963432312
39,93.21,0.0,169.29168963432312
40,93.93,0.0,169.29168963432312
41,92.5,0.0,169.29168963432312
42,91.79,0.0,169.29168963432312
43,91.79,0.0,169.29168963432312
44,93.21,0.0,169.29168963432312
45,93.57,0.0,169.29168963432312
46,92.86,0.0,169.29168963432312
47,92.14,0.0,169.29168963432312
48,92.86,0.0,169.29168963432312
49,93.93,0.0,169.29168963432312
50,93.93,0.0,169.29168963432312
51,91.79,0.0,169.29168963432312
52,92.86,0.0,169.29168963432312
53,93.93,0.0,169.29168963432312
54,89.64,0.0,169.29168963432312
55,92.14,0.0,169.29168963432312
56,92.86,0.0,169.29168963432312
57,94.29,0.0,169.29168963432312
58,93.57,0.0,169.29168963432312
59,93.93,0.0,169.29168963432312
60,92.5,0.0,169.29168963432312
61,92.5,0.0,169.29168963432312
62,93.57,0.0,169.29168963432312
63,92.14,0.0,169.29168963432312
64,92.5,0.0,169.29168963432312
65,93.21,0.0,169.29168963432312
66,91.43,0.0,169.29168963432312
67,92.5,0.0,169.29168963432312
68,93.93,0.0,169.29168963432312
69,91.07,0.0,169.29168963432312
70,95.0,0.0,169.29168963432312
71,92.5,0.0,169.29168963432312
72,91.79,0.0,169.29168963432312
73,92.86,0.0,169.29168963432312
74,90.71,0.0,169.29168963432312
75,93.93,0.0,169.29168963432312
76,92.14,0.0,169.29168963432312
77,91.79,0.0,169.29168963432312
78,92.14,0.0,169.29168963432312
79,93.57,0.0,169.29168963432312
80,93.21,0.0,169.29168963432312
81,93.57,0.0,169.29168963432312
82,94.64,0.0,169.29168963432312
83,93.93,0.0,169.29168963432312
84,92.86,0.0,169.29168963432312
85,92.14,0.0,169.29168963432312
86,90.71,0.0,169.29168963432312
87,92.14,0.0,169.29168963432312
88,94.29,0.0,169.29168963432312
89,91.79,0.0,169.29168963432312
90,91.07,0.0,169.29168963432312
91,91.79,0.0,169.29168963432312
92,92.86,0.0,169.29168963432312
93,93.57,0.0,169.29168963432312
94,94.64,0.0,169.29168963432312
95,92.14,0.0,169.29168963432312
96,93.21,0.0,169.29168963432312
97,93.21,0.0,169.29168963432312
98,92.86,0.0,169.29168963432312
99,93.21,0.0,169.29168963432312
100,95.71,0.0,169.29168963432312
